#DATE                  obsn   az      el     freq_MHz      Tsys        Tant        vlsr      glat       glon        source      Fstart       fstop        spacing      bw        fbw       nfreq   nsam        npoint  integ  sigma     
 2015:208:19:25:15     17     243     51     1421.5000     171.900     923.690     9.58      29.382     205.200     Sun         1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     42     0.275     
 2015:208:19:25:29     18     243     51     1421.5000     171.900     921.690     9.58      29.382     205.200     Sun         1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     44     0.268     
 2015:208:19:25:42     19     243     51     1421.5000     171.900     914.070     9.58      29.383     205.200     Sun         1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     46     0.261     
 2015:208:19:25:55     20     243     51     1421.5000     171.900     941.021     9.58      29.383     205.200     Sun         1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     48     0.256     
 2015:208:19:26:08     21     243     51     1421.5000     171.900     936.511     9.58      29.383     205.200     Sun         1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     50     0.250     
 2015:208:19:26:23     22     244     51     1421.5000     171.900     874.491     9.58      29.383     205.200     Sun         1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     53     0.245     
 2015:208:19:26:37     23     244     51     1421.5000     171.900     895.725     9.58      29.383     205.200     Sun         1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     55     0.240     
 2015:208:19:26:50     24     244     51     1421.5000     171.900     906.879     9.58      29.383     205.200     Sun         1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     57     0.235     
 2015:208:19:27:03     25     244     51     1421.5000     171.900     905.474     9.58      29.383     205.200     Sun         1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     59     0.231     
 2015:208:19:27:16     26     244     51     1421.5000     171.900     917.352     9.58      29.383     205.200     Sun         1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     61     0.227     
 2015:208:19:27:30     27     244     51     1421.5000     171.900     922.896     9.58      29.384     205.201     Sun         1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     64     0.223     
 2015:208:19:27:43     28     244     51     1421.5000     171.900     920.726     9.58      29.384     205.201     Sun         1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     66     0.219     
 2015:208:19:27:56     29     244     51     1421.5000     171.900     923.910     9.58      29.384     205.201     Sun         1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     68     0.215     
 2015:208:19:28:09     30     244     51     1421.5000     171.900     924.632     9.58      29.384     205.201     Sun         1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     70     0.212     
 2015:208:19:28:22     31     244     51     1421.5000     171.900     934.963     9.58      29.384     205.201     Sun         1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     72     0.209     
 2015:208:19:28:36     32     244     51     1421.5000     171.900     943.816     9.58      29.384     205.201     Sun         1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     74     0.206     
 2015:208:19:28:49     33     244     51     1421.5000     171.900     950.735     9.58      29.384     205.201     Sun         1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     77     0.203     
 2015:208:19:29:02     34     244     51     1421.5000     171.900     945.874     9.58      29.384     205.201     Sun         1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     79     0.200     
 2015:208:19:29:15     35     244     51     1421.5000     171.900     946.127     9.58      29.385     205.201     Sun         1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     81     0.197     
 2015:208:19:29:29     36     244     51     1421.5000     171.900     954.683     9.58      29.385     205.201     Sun         1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     83     0.195     
 2015:208:19:29:42     37     244     51     1421.5000     171.900     963.508     9.58      29.385     205.201     Sun         1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     85     0.192     
 2015:208:19:29:57     38     245     50     1421.5000     171.900     840.879     9.58      29.385     205.202     Sun         1420.497     1422.503     0.009375     2.400     2.000     256     1048576     214     88     0.190     
